,Scientific Name,Common Name,Where Listed,Region  ,ESA Listing Status  ,Group
279,Villosa trabalis,Cumberland bean (pearlymussel),U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1)),4,"Experimental Population, Non-Essential",Clams
280,Plethobasus cicatricosus,White wartyback (pearlymussel),U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1)),4,"Experimental Population, Non-Essential",Clams
281,Drosophila digressa,Hawaiian picture-wing fly,Wherever found,1,Endangered,Insects
282,Branchinecta sandiegonensis,San Diego fairy shrimp,Wherever found,8,Endangered,Crustaceans
283,Epioblasma capsaeformis,Oyster mussel,"AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL",4,"Experimental Population, Non-Essential",Clams
284,Picoides borealis,Red-cockaded woodpecker,Wherever found,4,Endangered,Birds
285,Pleurobema clava,Clubshell,Wherever found; Except where listed as Experimental Populations,5,Endangered,Clams
286,Athearnia anthonyi,Anthony's riversnail,Wherever found; Except where listed as Experimental Populations,4,Endangered,Snails
287,Sylvilagus palustris hefneri,Lower Keys marsh rabbit,Wherever found,4,Endangered,Mammals
288,Lampsilis abrupta,Pink mucket (pearlymussel),Wherever found,3,Endangered,Clams
289,Epioblasma torulosa torulosa,Tubercled blossom (pearlymussel),Wherever found; Except where listed as Experimental Populations,4,Endangered,Clams
290,Elliptio chipolaensis,Chipola slabshell,Wherever found,4,Threatened,Clams
291,Etheostoma nianguae,Niangua darter,Wherever found,3,Threatened,Fishes
